Installed Asset Serial Number,Ticket Number,Title,Installed Asset,Status,Resources,Client,Total Hours Worked,Contract,Priority,Created,Due,Billed Hours,Classification,Queue,Role
P2061DEX,T20220908.0391,Lenovo 500e Gen 2 N4100 - 4GB/32GB,Lenovo 500e Gen 2 N4100 - 4GB/32GB,Waiting Verification,"Zera, Austin (primary)",School District of Greendale,0.67,Greendale - ADP - Lenovo 500e G2 - $100,Low,09/08/2022 12:39 PM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
P2061DHD,T20220908.0392,Lenovo 500e Gen 2 N4100 - 4GB/32GB,Lenovo 500e Gen 2 N4100 - 4GB/32GB,Waiting Verification,"Rodriguez, Juan (primary)",School District of Greendale,0.58,Greendale - ADP - Lenovo 500e G2 - $100,Low,09/08/2022 12:39 PM,09/21/2022 11:00 PM,0.58,ChromeCare Client,Client Portal,Client Service Engineer L1
51N01X2,T20220908.0393,Dell 3100 Chromebook N4000 - 4GB/16GB - 1 USB Port,Dell 3100 Chromebook N4000 - 4GB/16GB - 1 USB Port,Waiting Pickup,,School District of Muskego-Norway,0.00,Muskego - ADP - Dell 3100,Low,09/08/2022 12:40 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
8WTZKF3,T20220908.0394,Dell 3100 N4020 - 4GB/16GB - 1 USB Port,Dell 3100 N4020 - 4GB/16GB - 1 USB Port,Waiting Pickup,,School District of Muskego-Norway,0.00,Muskego - ADP - Dell 3100,Low,09/08/2022 12:41 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
P2035QC9,T20220908.0395,Lenovo 500e Chromebook,Lenovo 500e Chromebook,Waiting Verification,"Pham, Paul (primary) | Vankerkvoorde, Ryan",School District of Nicolet,3.00,Nicolet - ADP - Lenovo 500e - No Ded,Low,09/08/2022 12:42 PM,09/21/2022 11:00 PM,3.00,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2W67MA,T20220908.0396,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Waiting Repair,,School District of Janesville,0.00,Janesville - ADP - Lenovo 500e G2 - No Deductible,Low,09/08/2022 12:42 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
PF2W9WS9,T20220908.0397,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Waiting Repair,,School District of Janesville,0.00,Janesville - ADP - Lenovo 500e G2 - No Deductible,Low,09/08/2022 12:43 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
L5NXCV00L302195,T20220908.0398,Asus C434TA Chromebook 4GB/64GB,Asus C434TA Chromebook 4GB/64GB,Waiting Verification,"Jung, Paul (primary)",School District of Menasha,0.58,Menasha - ADP - Asus C434TA - $100,Low,09/08/2022 12:44 PM,09/21/2022 11:00 PM,0.58,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD017J7P3,T20220908.0399,HP 11 G8 EE N4020 - 4GB/32GB,HP 11 G8 EE N4020 - 4GB/32GB,Repaired,"Hagert, Paul (primary)",School District of Batavia 101,0.83,Batavia - ADP - HP 11 G8 - 22-23,Low,09/08/2022 12:45 PM,09/21/2022 11:00 PM,0.83,ChromeCare Client,Client Portal,Client Service Engineer L1
F83TLF3,T20220908.0400,Dell 3100 N4020 - 4GB/16GB - 1 USB Port,Dell 3100 N4020 - 4GB/16GB - 1 USB Port,Complete,"Julsrud, Matthew (primary)",School District of Muskego-Norway,0.00,Muskego - ADP - Dell 3100,Low,09/08/2022 12:47 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
NXA6UAA0011152F5517600,T20220908.0401,Acer C722-K4CN MTK8183 - 4GB/32GB,Acer C722-K4CN MTK8183 - 4GB/32GB,Waiting Verification,"York, Brenan (primary)",School District of Kimberly,0.33,Kimberly - ADP - Acer C733,Low,09/08/2022 12:48 PM,09/21/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2T2ZYE,T20220908.0402,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Repaired,"Fox, Matthew (primary)",School District of Janesville,0.17,Janesville - ADP - Lenovo 500e G2 - No Deductible,Low,09/08/2022 12:48 PM,09/21/2022 11:00 PM,0.17,ChromeCare Client,Client Portal,Client Service Engineer L1
PF30H5EV,T20220908.0403,Lenovo 100e Gen 2 N4020 - 4GB/32GB - No SD Reader,Lenovo 100e Gen 2 N4020 - 4GB/32GB - No SD Reader,Waiting Verification,"Yan, Jerry (primary)",School District of Whitnall,0.50,Whitnall - ADP - Lenovo 100e G2,Low,09/08/2022 12:48 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WY4DK,T20220908.0404,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Repaired,"Saniter, Tanner (primary)",School District of Edgerton,0.67,Edgerton - ADP - Lenovo 100e G2,Low,09/08/2022 12:48 PM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WY6PV,T20220908.0405,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Waiting Repair,,School District of Edgerton,0.00,Edgerton - ADP - Lenovo 100e G2,Low,09/08/2022 12:48 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
MP1WY4MJ,T20220908.0406,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Waiting Repair,,School District of Edgerton,0.00,Edgerton - ADP - Lenovo 100e G2,Low,09/08/2022 12:48 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
MP1WY4G6,T20220908.0407,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Repaired,"Espinoza, Miguel (primary)",School District of Edgerton,0.50,Edgerton - ADP - Lenovo 100e G2,Low,09/08/2022 12:48 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WY6PC,T20220908.0408,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Repaired,"Espinoza, Miguel (primary)",School District of Edgerton,0.50,Edgerton - ADP - Lenovo 100e G2,Low,09/08/2022 12:49 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WY4RV,T20220908.0409,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Waiting Repair,,School District of Edgerton,0.00,Edgerton - ADP - Lenovo 100e G2,Low,09/08/2022 12:49 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
PF2T3ZTH,T20220908.0410,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Repaired,"Guerrero, Saul (primary)",School District of Janesville,0.67,Janesville - ADP - Lenovo 500e G2 - No Deductible,Low,09/08/2022 12:50 PM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
NXGUKAA0019190F6267600,T20220908.0411,Acer C732 Chromebook,Acer C732 Chromebook,Waiting Pickup,,School District of Whitnall,0.00,Whitnall - ADP - Acer C732,Low,09/08/2022 12:50 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
NXH8VAA0060483E8AF7611,T20220908.0412,Acer C733-C5AS N4020 - 4GB/32GB,Acer C733-C5AS N4020 - 4GB/32GB,Waiting Verification,"Wardeh, Abdu (primary)",School District of Little Chute,0.75,Little Chute - ADP - Acer C733,Low,09/08/2022 12:51 PM,09/21/2022 11:00 PM,0.75,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD0437ZQ9,T20220908.0413,HP 11 G8 EE N4020 - 4GB/32GB,HP 11 G8 EE N4020 - 4GB/32GB,Repaired,"McClain, Anastasia (primary)",School District of Batavia 101,0.50,Batavia - ADP - HP 11 G8 - 22-23,Low,09/08/2022 12:51 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
NXGUKAA0019190E9C67600,T20220908.0414,Acer C732 Chromebook,Acer C732 Chromebook,Waiting Verification,"Krueger, Erik (primary)",School District of Whitnall,0.75,Whitnall - ADP - Acer C732,Low,09/08/2022 12:51 PM,09/21/2022 11:00 PM,0.75,ChromeCare Client,Client Portal,Client Service Engineer L1
GWXC893,T20220908.0415,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Dell 3100 N4020 2-in-1 - 4GB/32GB - Dual Camera,Waiting Repair,,School District of La Grange 102,0.00,La Grange 102 - ADP - Dell 3100 Touch - $100,Low,09/08/2022 12:52 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
PF30JYTP,T20220908.0416,Lenovo 100e Gen 2 N4020 - 4GB/32GB - No SD Reader,Lenovo 100e Gen 2 N4020 - 4GB/32GB - No SD Reader,Waiting Verification,"Fox, Matthew (primary)",School District of Whitnall,0.25,Whitnall - ADP - Lenovo 100e G2,Low,09/08/2022 12:52 PM,09/21/2022 11:00 PM,0.25,ChromeCare Client,Client Portal,Client Service Engineer L1
PF30ZNT3,T20220908.0417,Lenovo 100e Gen 2 N4020 - 4GB/32GB - No SD Reader,Lenovo 100e Gen 2 N4020 - 4GB/32GB - No SD Reader,Waiting Verification,"York, Laquell (primary)",School District of Whitnall,0.33,Whitnall - ADP - Lenovo 100e G2,Low,09/08/2022 12:54 PM,09/21/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
5CD017FB7P,T20220908.0418,HP 11 G8 EE N4020 - 4GB/32GB,HP 11 G8 EE N4020 - 4GB/32GB,Repaired,"Fox, Matthew (primary)",School District of Batavia 101,0.67,Batavia - ADP - HP 11 G8 - 22-23,Low,09/08/2022 12:58 PM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
PF30H9C4,T20220908.0419,Lenovo 100e Gen 2 N4020 - 4GB/32GB - No SD Reader,Lenovo 100e Gen 2 N4020 - 4GB/32GB - No SD Reader,Complete,"Julsrud, Matthew (primary)",School District of Whitnall,0.00,Whitnall - ADP - Lenovo 100e G2,Low,09/08/2022 12:58 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
PF30HF16,T20220908.0420,Lenovo 100e Gen 2 N4020 - 4GB/32GB - No SD Reader,Lenovo 100e Gen 2 N4020 - 4GB/32GB - No SD Reader,Complete,"Julsrud, Matthew (primary)",School District of Whitnall,0.00,Whitnall - ADP - Lenovo 100e G2,Low,09/08/2022 12:58 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
L7NXCV00J11327A,T20220908.0421,Asus C204 EE N4000 - 4GB/32GB,Asus C204 EE N4000 - 4GB/32GB,Complete,"Julsrud, Matthew (primary)",School District of Jersey 100,0.00,Jersey - ADP - Asus C204,Low,09/08/2022 01:00 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8VAA00601403A9E7600,T20220908.0422,Acer C733-C5AS N4020 - 4GB/32GB,Acer C733-C5AS N4020 - 4GB/32GB,Complete,"Julsrud, Matthew (primary)",School District of Whitnall,0.00,Whitnall - ADP - Acer C733,Low,09/08/2022 01:00 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8VAA00601400CD37600,T20220908.0423,Acer C733-C5AS N4020 - 4GB/32GB,Acer C733-C5AS N4020 - 4GB/32GB,Complete,"Julsrud, Matthew (primary)",School District of Whitnall,0.00,Whitnall - ADP - Acer C733,Low,09/08/2022 01:01 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8VAA00601403A577600,T20220908.0424,Acer C733-C5AS N4020 - 4GB/32GB,Acer C733-C5AS N4020 - 4GB/32GB,Complete,"Julsrud, Matthew (primary)",School District of Whitnall,0.00,Whitnall - ADP - Acer C733,Low,09/08/2022 01:01 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
L7NXCV03503827E,T20220908.0425,Asus C204 EE N4000 - 4GB/32GB,Asus C204 EE N4000 - 4GB/32GB,Complete,"Julsrud, Matthew (primary)",School District of Jersey 100,0.00,Jersey - ADP - Asus C204,Low,09/08/2022 01:01 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
NXHQEAA0010230B2BF7600,T20220908.0426,Acer C871-C85K,Acer C871-C85K,Waiting Parts,"York, Brenan (primary)",School District of Sheboygan,0.08,Sheboygan - ADP - Acer C871,Low,09/08/2022 01:02 PM,09/21/2022 11:00 PM,0.08,ChromeCare Client,Client Portal,Client Service Engineer L1
PF3SXL1H,T20220908.0427,Lenovo 500e Gen 3 N5100 - 8GB/64GB,Lenovo 500e Gen 3 N5100 - 8GB/64GB,Waiting Pickup,,School District of Deerfield 109,0.00,Deerfield - ADP - Lenovo 500e Gen 3 - NO DED,Low,09/08/2022 01:02 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
PF3SYSRJ,T20220908.0428,Lenovo 500e Gen 3 N5100 - 8GB/64GB,Lenovo 500e Gen 3 N5100 - 8GB/64GB,Waiting Pickup,,School District of Deerfield 109,0.00,Deerfield - ADP - Lenovo 500e Gen 3 - NO DED,Low,09/08/2022 01:02 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
L6NXCV20W54426D,T20220908.0429,Asus C204 EE N4000 - 4GB/32GB,Asus C204 EE N4000 - 4GB/32GB,Complete,"Julsrud, Matthew (primary)",School District of Jersey 100,0.00,Jersey - ADP - Asus C204,Low,09/08/2022 01:02 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
L7NXCV00J17827B,T20220908.0430,Asus C204 EE N4000 - 4GB/32GB,Asus C204 EE N4000 - 4GB/32GB,Complete,"Julsrud, Matthew (primary)",School District of Jersey 100,0.00,Jersey - ADP - Asus C204,Low,09/08/2022 01:03 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
NXHQEAA0010230FCAC7600,T20220908.0431,Acer C871-C85K,Acer C871-C85K,Waiting Verification,"Zera, Austin (primary)",School District of Sheboygan,0.50,Sheboygan - ADP - Acer C871,Low,09/08/2022 01:05 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8VAA00601403A6F7600,T20220908.0432,Acer C733-C5AS N4020 - 4GB/32GB,Acer C733-C5AS N4020 - 4GB/32GB,Waiting Verification,"McClain, Anastasia (primary)",School District of Whitnall,0.42,Whitnall - ADP - Acer C733,Low,09/08/2022 01:06 PM,09/21/2022 11:00 PM,0.42,ChromeCare Client,Client Portal,Client Service Engineer L1
L6NXCV20W780265,T20220908.0433,Asus C204 EE N4000 - 4GB/32GB,Asus C204 EE N4000 - 4GB/32GB,Complete,"Julsrud, Matthew (primary)",School District of Jersey 100,0.00,Jersey - ADP - Asus C204,Low,09/08/2022 01:06 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
L6NXCV20W17326D,T20220908.0434,Asus C204 EE N4000 - 4GB/32GB,Asus C204 EE N4000 - 4GB/32GB,Complete,"Julsrud, Matthew (primary)",School District of Jersey 100,0.00,Jersey - ADP - Asus C204,Low,09/08/2022 01:07 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
NXA6UAA0011210FC2E7600,T20220908.0435,Acer C722-K4CN MTK8183 - 4GB/32GB,Acer C722-K4CN MTK8183 - 4GB/32GB,Waiting Repair,,School District of Oconomowoc,0.00,Oconomowoc - ADP - Acer C722 - TH ,Low,09/08/2022 01:08 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
NXHPWAA002110253F37611,T20220908.0436,Acer R752T-C3M5 N4020 - 4GB/32GB - No Stylus,Acer R752T-C3M5 N4020 - 4GB/32GB - No Stylus,Repaired,"Moua, Hue (primary)",School District of Lemont-Bromberek 113A,0.75,Lemont 113A - ADP - Acer R752T - $100,Low,09/08/2022 01:08 PM,09/21/2022 11:00 PM,0.75,ChromeCare Client,Client Portal,Client Service Engineer L1
NXHPWAA00211011A5C7611,T20220908.0437,Acer R752T-C3M5 N4020 - 4GB/32GB - No Stylus,Acer R752T-C3M5 N4020 - 4GB/32GB - No Stylus,Repaired,"Rosas-Soto, Alejandro (primary)",School District of Lemont-Bromberek 113A,0.67,Lemont 113A - ADP - Acer R752T - $100,Low,09/08/2022 01:08 PM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
9JVYVC3,T20220908.0438,Dell 3100 N4020 - 4GB/32GB - 2 USB Port,Dell 3100 N4020 - 4GB/32GB - 2 USB Port,Waiting Verification,"Rosas-Soto, Alejandro (primary)",School District of Ashwaubenon,0.33,Ashwaubenon - ADP - Dell 3100,Low,09/08/2022 01:11 PM,09/21/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
3YSNVC3,T20220908.0439,Dell 3100 N4020 - 4GB/32GB - 2 USB Port,Dell 3100 N4020 - 4GB/32GB - 2 USB Port,Waiting Verification,"Rosas-Soto, Alejandro (primary)",School District of Ashwaubenon,0.33,Ashwaubenon - ADP - Dell 3100,Low,09/08/2022 01:11 PM,09/21/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
CCHXVC3,T20220908.0440,Dell 3100 N4020 - 4GB/32GB - 2 USB Port,Dell 3100 N4020 - 4GB/32GB - 2 USB Port,Waiting Verification,"Eslit, Karl (primary)",School District of Ashwaubenon,0.58,Ashwaubenon - ADP - Dell 3100,Low,09/08/2022 01:11 PM,09/21/2022 11:00 PM,0.58,ChromeCare Client,Client Portal,Client Service Engineer L1
80BYVC3,T20220908.0441,Dell 3100 N4020 - 4GB/32GB - 2 USB Port,Dell 3100 N4020 - 4GB/32GB - 2 USB Port,Waiting Verification,"Rosas-Soto, Alejandro (primary)",School District of Ashwaubenon,0.33,Ashwaubenon - ADP - Dell 3100,Low,09/08/2022 01:12 PM,09/21/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
NXATTAA0011410EC467611,T20220908.0442,Acer C733T-C6Z6 N4020 - 4GB/32GB - nSDR,Acer C733T-C6Z6 N4020 - 4GB/32GB - nSDR,Battery Swap Required,"Fera, Anthony (primary)",School District of Menasha,0.50,Menasha - ADP - Acer C733T - $100,Low,09/08/2022 01:12 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
P209X7EY,T20220908.0443,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Waiting Verification,"Yan, Jerry (primary)",Saint Francis Xavier School,0.50,Saint Francis - ADP - Lenovo 100e N4020,Low,09/08/2022 01:16 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
PF2KSJKY,T20220908.0444,Lenovo 300e Gen 2 N4020 - 4GB/32GB - Dual Camera,Lenovo 300e Gen 2 N4020 - 4GB/32GB - Dual Camera,Repaired,"Schaefer, Joshua (primary)",School District of Waterford - High School,0.67,Waterford HS - ADP - Lenovo 300e G2 - NO DED - Case,Low,09/08/2022 01:23 PM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WY6SN,T20220908.0445,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Repaired,"Rosas-Soto, Alejandro (primary)",School District of Edgerton,0.50,Edgerton - ADP - Lenovo 100e G2,Low,09/08/2022 01:23 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WXSGV,T20220908.0446,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Repaired,"Rosas-Soto, Alejandro (primary)",School District of Edgerton,0.50,Edgerton - ADP - Lenovo 100e G2,Low,09/08/2022 01:23 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WY9K2,T20220908.0447,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Repaired,"York, Brenan (primary)",School District of Edgerton,0.58,Edgerton - ADP - Lenovo 100e G2,Low,09/08/2022 01:23 PM,09/21/2022 11:00 PM,0.58,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WY6TG,T20220908.0448,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Repaired,"Rademan, Zachary (primary)",School District of Edgerton,0.75,Edgerton - ADP - Lenovo 100e G2,Low,09/08/2022 01:23 PM,09/21/2022 11:00 PM,0.75,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WY2BD,T20220908.0449,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Repaired,"Rademan, Zachary (primary)",School District of Edgerton,0.50,Edgerton - ADP - Lenovo 100e G2,Low,09/08/2022 01:23 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1WY4M2,T20220908.0450,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Waiting Repair,,School District of Edgerton,0.00,Edgerton - ADP - Lenovo 100e G2,Low,09/08/2022 01:23 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
H3CDQV2,T20220908.0451,Dell 3100 Chromebook N4000 - 4GB/16GB - 1 USB Port,Dell 3100 Chromebook N4000 - 4GB/16GB - 1 USB Port,Complete,"Julsrud, Matthew (primary)",School District of Madison Metropolitan,0.00,Madison - ADP - Dell 3100 - BATT INCLUDED,Low,09/08/2022 01:25 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
F9FCQNYXMF3M,T20220908.0452,iPad 7 - White,iPad 7 - White,Complete,"Peavey, Micheal (primary)",School District of Iowa-Grant,2.25,Iowa Grant - ADP - iPad - 21-22 - No Ded,Low,09/08/2022 01:25 PM,09/21/2022 11:00 PM,2.25,ChromeCare Client,Client Portal,Client Service Engineer L1
NXHPXAA0030020EE077600,T20220908.0453,Acer R752TN-C5J5 N4020 - 4GB/32GB - Stylus - Dual Camera,Acer R752TN-C5J5 N4020 - 4GB/32GB - Stylus - Dual Camera,Waiting Repair,,School District of Lemont 210,0.00,Lemont - ADP - Acer R752 - $100,Low,09/08/2022 01:25 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,
NXH8WAA00191701FD47600,T20220908.0454,Acer C733T-C8SZ Chromebook,Acer C733T-C8SZ Chromebook,Waiting Verification,"Palicka, Curtis (primary)",School District of Menasha,0.58,Menasha - ADP - Acer C733T - $100,Low,09/08/2022 01:25 PM,09/21/2022 11:00 PM,0.58,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8WAA0019170920E7600,T20220908.0455,Acer C733T-C8SZ Chromebook,Acer C733T-C8SZ Chromebook,Waiting Verification,"Krueger, Erik (primary)",School District of Menasha,1.00,Menasha - ADP - Acer C733T - $100,Low,09/08/2022 01:25 PM,09/21/2022 11:00 PM,1.00,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8WAA001917092027600,T20220908.0456,Acer C733T-C8SZ Chromebook,Acer C733T-C8SZ Chromebook,Waiting Verification,"Palicka, Curtis (primary)",School District of Menasha,0.67,Menasha - ADP - Acer C733T - $100,Low,09/08/2022 01:26 PM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8WAA00191701F527600,T20220908.0457,Acer C733T-C8SZ Chromebook,Acer C733T-C8SZ Chromebook,Waiting Verification,"Fera, Anthony (primary)",School District of Menasha,0.75,Menasha - ADP - Acer C733T - $100,Low,09/08/2022 01:26 PM,09/21/2022 11:00 PM,0.75,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8WAA001917026A17600,T20220908.0458,Acer C733T-C8SZ Chromebook,Acer C733T-C8SZ Chromebook,Waiting Verification,"Fera, Anthony (primary)",School District of Menasha,0.83,Menasha - ADP - Acer C733T - $100,Low,09/08/2022 01:26 PM,09/21/2022 11:00 PM,0.83,ChromeCare Client,Client Portal,Client Service Engineer L1
P209008P,T20220908.0459,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Lenovo 100e Gen 2 N4020 - 4GB/32GB,Waiting Verification,"Peterson, William (primary)",School District of North Palos 117,0.42,North Palos - ADP - Lenovo 100e Gen 2,Low,09/08/2022 01:26 PM,09/21/2022 11:00 PM,0.42,ChromeCare Client,Client Portal,Client Service Engineer L1
P208PD0Q,T20220908.0460,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Lenovo 500e Gen 2 N4120 - 4GB/32GB,Waiting Verification,"Rodriguez, Juan (primary)",School District of North Palos 117,0.33,North Palos - ADP - Lenovo 500e G2 N4120 - $100,Low,09/08/2022 01:26 PM,09/21/2022 11:00 PM,0.33,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8WAA0019170251E7600,T20220908.0461,Acer C733T-C8SZ Chromebook,Acer C733T-C8SZ Chromebook,Waiting Verification,"Loether, Marshall (primary)",School District of Menasha,0.83,Menasha - ADP - Acer C733T - $100,Low,09/08/2022 01:27 PM,09/21/2022 11:00 PM,0.83,ChromeCare Client,Client Portal,Client Service Engineer L1
MP1V1HF7,T20220908.0462,Lenovo 100e Gen 2 A4,Lenovo 100e Gen 2 A4,Repaired,"Rademan, Zachary (primary)",School District of Medford,0.50,Medford - ADP - Lenovo 100e G2,Low,09/08/2022 01:28 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8VAA006125065417611,T20220908.0463,Acer C733-C5AS N4020 - 4GB/32GB,Acer C733-C5AS N4020 - 4GB/32GB,Waiting Verification,"Riberdy, Jacob (primary) | Vankerkvoorde, Ryan",School District of Kimberly,0.50,Kimberly - ADP - Acer C733,Low,09/08/2022 01:29 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
CQ4MPV2,T20220908.0464,Dell 3100 Chromebook N4000 - 4GB/16GB - 1 USB Port,Dell 3100 Chromebook N4000 - 4GB/16GB - 1 USB Port,Complete,"Julsrud, Matthew (primary)",School District of Madison Metropolitan,0.00,Madison - ADP - Dell 3100 - BATT INCLUDED,Low,09/08/2022 01:32 PM,09/21/2022 11:00 PM,0.00,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8YAA0070320ED3B7611,T20220908.0465,Acer C851T-C6XB N4020 - 4GB/32GB,Acer C851T-C6XB N4020 - 4GB/32GB,Repaired,"Fox, Matthew (primary)",Old St. Mary's ,0.75,Old St Marys - ADP - Acer C851T - $100,Low,09/08/2022 01:34 PM,09/21/2022 11:00 PM,0.75,ChromeCare Client,Client Portal,Client Service Engineer L1
NXH8YAA0070320F7EA7611,T20220908.0466,Acer C851T-C6XB N4020 - 4GB/32GB,Acer C851T-C6XB N4020 - 4GB/32GB,Repaired,"Fox, Matthew (primary)",Old St. Mary's ,0.67,Old St Marys - ADP - Acer C851T - $100,Low,09/08/2022 01:34 PM,09/21/2022 11:00 PM,0.67,ChromeCare Client,Client Portal,Client Service Engineer L1
M9NXCV05U00636B,T20220908.0467,Asus CX5400FMA i5-1130G7 - 16GB/256GB,Asus CX5400FMA i5-1130G7 - 16GB/256GB,Repaired,"Hagert, Paul (primary)",School District of Oshkosh,0.50,Oshkosh - ADP - Asus CX5400FMA - $100,Low,09/08/2022 01:35 PM,09/21/2022 11:00 PM,0.50,ChromeCare Client,Client Portal,Client Service Engineer L1
